timestamp,event_ticker,market_ticker,yes_price,no_price
,KXMLSCUP-25,KXMLSCUP-25-VAN,,
,KXF1CONSTRUCTORS-25,KXF1CONSTRUCTORS-25-MCL,,
,KXF1CONSTRUCTORS-25,KXF1CONSTRUCTORS-25-FER,,
,KXF1CONSTRUCTORS-25,KXF1CONSTRUCTORS-25-RED,,
,KXF1CONSTRUCTORS-25,KXF1CONSTRUCTORS-25-MER,,
,KXF1CONSTRUCTORS-25,KXF1CONSTRUCTORS-25-AST,,
,KXF1CONSTRUCTORS-25,KXF1CONSTRUCTORS-25-ALP,,
,KXF1CONSTRUCTORS-25,KXF1CONSTRUCTORS-25-HAA,,
,KXF1CONSTRUCTORS-25,KXF1CONSTRUCTORS-25-RBH,,
,KXF1CONSTRUCTORS-25,KXF1CONSTRUCTORS-25-WIL,,
,KXF1CONSTRUCTORS-25,KXF1CONSTRUCTORS-25-KIC,,
,KXF1-25,KXF1-25-LN,,
,KXF1-25,KXF1-25-MV,,
,KXF1-25,KXF1-25-CL,,
,KXF1-25,KXF1-25-LH,,
,KXF1-25,KXF1-25-OP,,
,KXF1-25,KXF1-25-GR,,
,KXF1-25,KXF1-25-KA,,
,KXF1-25,KXF1-25-YT,,
,KXF1-25,KXF1-25-FA,,
,KXF1-25,KXF1-25-PG,,
,KXF1-25,KXF1-25-CS,,
,KXF1-25,KXF1-25-OB,,
,KXF1-25,KXF1-25-EO,,
,KXF1-25,KXF1-25-AA,,
,KXF1-25,KXF1-25-IH,,
,KXF1-25,KXF1-25-JD,,
,KXF1-25,KXF1-25-NH,,
,KXF1-25,KXF1-25-GB,,
,KXF1-25,KXF1-25-LS,,
,KXF1-25,KXF1-25-LL,,
,KXNCAAFSEC-25,KXNCAAFSEC-25-TEX,,
,KXNCAAFSEC-25,KXNCAAFSEC-25-UGA,,
,KXNCAAFSEC-25,KXNCAAFSEC-25-ALA,,
,KXNCAAFSEC-25,KXNCAAFSEC-25-TENN,,
,KXNCAAFSEC-25,KXNCAAFSEC-25-LSU,,
,KXNCAAFSEC-25,KXNCAAFSEC-25-MISS,,
,KXNCAAFSEC-25,KXNCAAFSEC-25-TXAM,,
,KXNCAAFSEC-25,KXNCAAFSEC-25-SCAR,,
,KXNCAAFSEC-25,KXNCAAFSEC-25-FLA,,
,KXNCAAFSEC-25,KXNCAAFSEC-25-AUB,,
,KXNCAAFSEC-25,KXNCAAFSEC-25-MIZZ,,
,KXNCAAFSEC-25,KXNCAAFSEC-25-OKLA,,
,KXNCAAFSEC-25,KXNCAAFSEC-25-ARK,,
,KXNCAAFSEC-25,KXNCAAFSEC-25-VAN,,
,KXNCAAFSEC-25,KXNCAAFSEC-25-UK,,
,KXNCAAFSEC-25,KXNCAAFSEC-25-MSST,,
,KXNCAAFB12-25,KXNCAAFB12-25-KSU,,
,KXNCAAFB12-25,KXNCAAFB12-25-ASU,,
,KXNCAAFB12-25,KXNCAAFB12-25-TTU,,
,KXNCAAFB12-25,KXNCAAFB12-25-BAY,,
,KXNCAAFB12-25,KXNCAAFB12-25-KU,,
,KXNCAAFB12-25,KXNCAAFB12-25-BYU,,
,KXNCAAFB12-25,KXNCAAFB12-25-ISU,,
,KXNCAAFB12-25,KXNCAAFB12-25-UTAH,,
,KXNCAAFB12-25,KXNCAAFB12-25-TCU,,
,KXNCAAFB12-25,KXNCAAFB12-25-COLO,,
,KXNCAAFB12-25,KXNCAAFB12-25-OKST,,
